STATE,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,PERCENT POSITIVE,PERCENT A,PERCENT B,ACTIVITY LEVEL,ACTIVITY LEVEL LABEL,WEEKEND,SEASON,%UNWEIGHTED ILI,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
South Carolina,2016,25,138,0,0,0,0,0,Level 1,Minimal,Jun-25-2016,2015-16,0.0373552,1,8,2677
South Dakota,2016,25,77,0,1,1.3,0,1.3,Level 1,Minimal,Jun-25-2016,2015-16,0.60733,29,22,4775
Tennessee,2016,25,65,1,1,3.08,1.54,1.54,Level 1,Minimal,Jun-25-2016,2015-16,1.3655,90,49,6591
Texas,2016,25,811,10,10,2.47,1.23,1.23,Level 1,Minimal,Jun-25-2016,2015-16,1.87159,316,68,16884
Utah,2016,25,255,1,0,0.39,0.39,0,Level 1,Minimal,Jun-25-2016,2015-16,0.915373,151,34,16496
Vermont,2016,25,0,0,0,0,0,0,Level 1,Minimal,Jun-25-2016,2015-16,0.454841,7,7,1539
Virginia,2016,25,120,0,0,0,0,0,Level 1,Minimal,Jun-25-2016,2015-16,1.25253,991,124,79120
Washington,2016,25,189,2,0,1.06,1.06,0,Level 1,Minimal,Jun-25-2016,2015-16,0.229797,6,20,2611
West Virginia,2016,25,226,0,1,0.44,0,0.44,Level 1,Minimal,Jun-25-2016,2015-16,0.454908,57,33,12530
Wisconsin,2016,25,262,0,0,0,0,0,Level 1,Minimal,Jun-25-2016,2015-16,0.386764,9,18,2327
Wyoming,2016,25,0,0,0,0,0,0,Level 1,Minimal,Jun-25-2016,2015-16,0.17838,5,14,2803
Puerto Rico,2016,25,0,0,0,0,0,0,Level 2,Minimal,Jun-25-2016,2015-16,3.56818,196,9,5493
Virgin Islands,2016,25,0,0,0,0,0,0,Level 0,Insufficient Data,Jun-25-2016,2015-16,1.63043,6,1,368
New York City,2016,25,0,0,0,0,0,0,Level 1,Minimal,Jun-25-2016,2015-16,1.20967,1224,86,101185
Alabama,2016,26,48,0,1,2.08,0,2.08,Level 1,Minimal,Jul-02-2016,2015-16,1.09025,54,20,4953
Alaska,2016,26,0,0,0,0,0,0,Level 1,Minimal,Jul-02-2016,2015-16,0.186567,2,4,1072
Arizona,2016,26,30,0,0,0,0,0,Level 1,Minimal,Jul-02-2016,2015-16,1.04029,165,44,15861
Arkansas,2016,26,38,0,0,0,0,0,Level 1,Minimal,Jul-02-2016,2015-16,0.0993049,1,5,1007
California,2016,26,398,0,1,0.25,0,0.25,Level 1,Minimal,Jul-02-2016,2015-16,1.21986,381,96,31233
Colorado,2016,26,162,1,0,0.62,0.62,0,Level 1,Minimal,Jul-02-2016,2015-16,0.322477,10,5,3101
Connecticut,2016,26,168,1,0,0.6,0.6,0,Level 1,Minimal,Jul-02-2016,2015-16,0.303951,4,15,1316
Delaware,2016,26,13,0,0,0,0,0,Level 1,Minimal,Jul-02-2016,2015-16,0,0,12,2763
District of Columbia,2016,26,0,0,0,0,0,0,Level 0,Insufficient Data,Jul-02-2016,2015-16,5.40915,78,2,1442
Florida,2016,26,0,0,0,0,0,0,Level 1,Minimal,Jul-02-2016,2015-16,X,X,X,X
Georgia,2016,26,233,0,3,1.29,0,1.29,Level 1,Minimal,Jul-02-2016,2015-16,1.01903,340,28,33365
Hawaii,2016,26,200,4,3,3.5,2,1.5,Level 1,Minimal,Jul-02-2016,2015-16,1.21279,11,12,907
Idaho,2016,26,0,0,0,0,0,0,Level 0,Insufficient Data,Jul-02-2016,2015-16,0,0,1,297
Illinois,2016,26,29,0,0,0,0,0,Level 1,Minimal,Jul-02-2016,2015-16,1.16108,355,57,30575
Indiana,2016,26,47,0,0,0,0,0,Level 1,Minimal,Jul-02-2016,2015-16,0.209132,6,18,2869
Iowa,2016,26,20,0,0,0,0,0,Level 1,Minimal,Jul-02-2016,2015-16,0,0,3,354
Kansas,2016,26,0,0,0,0,0,0,Level 1,Minimal,Jul-02-2016,2015-16,0.193112,6,12,3107
Kentucky,2016,26,165,0,0,0,0,0,Level 1,Minimal,Jul-02-2016,2015-16,0.00578436,1,15,17288
Louisiana,2016,26,133,0,2,1.5,0,1.5,Level 1,Minimal,Jul-02-2016,2015-16,1.13014,510,71,45127
Maine,2016,26,0,0,0,0,0,0,Level 1,Minimal,Jul-02-2016,2015-16,0.699143,31,24,4434
Maryland,2016,26,16,0,0,0,0,0,Level 1,Minimal,Jul-02-2016,2015-16,1.04889,59,18,5625
Massachusetts,2016,26,81,0,0,0,0,0,Level 1,Minimal,Jul-02-2016,2015-16,0.454519,77,22,16941
Michigan,2016,26,130,0,0,0,0,0,Level 1,Minimal,Jul-02-2016,2015-16,0.367341,53,60,14428
Minnesota,2016,26,123,0,0,0,0,0,Level 1,Minimal,Jul-02-2016,2015-16,0.475813,12,14,2522
Mississippi,2016,26,22,0,0,0,0,0,Level 1,Minimal,Jul-02-2016,2015-16,1.20597,189,48,15672
Missouri,2016,26,251,0,0,0,0,0,Level 1,Minimal,Jul-02-2016,2015-16,0.388098,9,16,2319
Montana,2016,26,58,0,0,0,0,0,Level 1,Minimal,Jul-02-2016,2015-16,0.0696864,1,3,1435
Nebraska,2016,26,32,0,1,3.13,0,3.13,Level 1,Minimal,Jul-02-2016,2015-16,0.632911,11,10,1738
Nevada,2016,26,0,0,0,0,0,0,Level 1,Minimal,Jul-02-2016,2015-16,0.276187,27,17,9776
New Hampshire,2016,26,10,0,0,0,0,0,Level 1,Minimal,Jul-02-2016,2015-16,0.247001,7,17,2834
New Jersey,2016,26,0,0,0,0,0,0,Level 1,Minimal,Jul-02-2016,2015-16,0.770003,23,14,2987
New Mexico,2016,26,65,0,0,0,0,0,Level 1,Minimal,Jul-02-2016,2015-16,0.873686,59,17,6753
New York,2016,26,837,0,2,0.24,0,0.24,Level 1,Minimal,Jul-02-2016,2015-16,0.0457247,1,31,2187
North Carolina,2016,26,0,0,0,0,0,0,Level 1,Minimal,Jul-02-2016,2015-16,0.71273,36,23,5051
North Dakota,2016,26,0,0,0,0,0,0,Level 1,Minimal,Jul-02-2016,2015-16,0.7109,3,5,422
Ohio,2016,26,275,0,2,0.73,0,0.73,Level 1,Minimal,Jul-02-2016,2015-16,0.444115,42,43,9457
Oklahoma,2016,26,89,0,1,1.12,0,1.12,Level 1,Minimal,Jul-02-2016,2015-16,0.135777,4,15,2946
Oregon,2016,26,66,0,0,0,0,0,Level 1,Minimal,Jul-02-2016,2015-16,0,0,6,1318
Pennsylvania,2016,26,122,0,2,1.64,0,1.64,Level 1,Minimal,Jul-02-2016,2015-16,1.10257,99,32,8979
Rhode Island,2016,26,0,0,0,0,0,0,Level 1,Minimal,Jul-02-2016,2015-16,0.0578035,2,16,3460
South Carolina,2016,26,17,0,0,0,0,0,Level 1,Minimal,Jul-02-2016,2015-16,0.07249,2,9,2759
South Dakota,2016,26,81,0,0,0,0,0,Level 1,Minimal,Jul-02-2016,2015-16,0.724977,31,24,4276
Tennessee,2016,26,41,0,0,0,0,0,Level 1,Minimal,Jul-02-2016,2015-16,1.3735,88,51,6407
Texas,2016,26,556,3,9,2.16,0.54,1.62,Level 1,Minimal,Jul-02-2016,2015-16,1.84575,297,65,16091
Utah,2016,26,271,1,0,0.37,0.37,0,Level 1,Minimal,Jul-02-2016,2015-16,0.803547,174,38,21654
Vermont,2016,26,0,0,0,0,0,0,Level 1,Minimal,Jul-02-2016,2015-16,0.454545,6,6,1320
Virginia,2016,26,135,0,1,0.74,0,0.74,Level 1,Minimal,Jul-02-2016,2015-16,1.30854,978,119,74740
Washington,2016,26,192,1,0,0.52,0.52,0,Level 1,Minimal,Jul-02-2016,2015-16,0.178063,5,24,2808
West Virginia,2016,26,156,0,0,0,0,0,Level 1,Minimal,Jul-02-2016,2015-16,0.524052,67,34,12785
Wisconsin,2016,26,247,1,0,0.4,0.4,0,Level 1,Minimal,Jul-02-2016,2015-16,0.274348,6,17,2187
Wyoming,2016,26,0,0,0,0,0,0,Level 1,Minimal,Jul-02-2016,2015-16,0.317572,9,14,2834
Puerto Rico,2016,26,0,0,0,0,0,0,Level 5,Low,Jul-02-2016,2015-16,4.69263,200,7,4262
Virgin Islands,2016,26,0,0,0,0,0,0,Level 0,Insufficient Data,Jul-02-2016,2015-16,0.882353,3,1,340
New York City,2016,26,0,0,0,0,0,0,Level 1,Minimal,Jul-02-2016,2015-16,1.14689,1125,83,98091
Alabama,2016,27,56,0,0,0,0,0,Level 1,Minimal,Jul-09-2016,2015-16,1.08565,45,19,4145
Alaska,2016,27,0,0,0,0,0,0,Level 1,Minimal,Jul-09-2016,2015-16,0.520833,7,5,1344
Arizona,2016,27,22,0,0,0,0,0,Level 1,Minimal,Jul-09-2016,2015-16,0.936658,139,42,14840
Arkansas,2016,27,17,0,0,0,0,0,Level 1,Minimal,Jul-09-2016,2015-16,0.330396,3,5,908
California,2016,27,365,1,0,0.27,0.27,0,Level 1,Minimal,Jul-09-2016,2015-16,1.14608,299,97,26089
Colorado,2016,27,138,0,0,0,0,0,Level 1,Minimal,Jul-09-2016,2015-16,0.322581,8,7,2480
Connecticut,2016,27,161,0,0,0,0,0,Level 1,Minimal,Jul-09-2016,2015-16,0.335946,3,12,893
Delaware,2016,27,0,0,0,0,0,0,Level 1,Minimal,Jul-09-2016,2015-16,0,0,10,1845
District of Columbia,2016,27,0,0,0,0,0,0,Level 0,Insufficient Data,Jul-09-2016,2015-16,4.18195,57,2,1363
Florida,2016,27,0,0,0,0,0,0,Level 1,Minimal,Jul-09-2016,2015-16,X,X,X,X
Georgia,2016,27,203,1,1,0.99,0.49,0.49,Level 1,Minimal,Jul-09-2016,2015-16,1.22971,369,29,30007
Hawaii,2016,27,0,0,0,0,0,0,Level 1,Minimal,Jul-09-2016,2015-16,2.26064,17,13,752
Idaho,2016,27,0,0,0,0,0,0,Level 0,Insufficient Data,Jul-09-2016,2015-16,0.149031,1,2,671
Illinois,2016,27,91,0,1,1.1,0,1.1,Level 1,Minimal,Jul-09-2016,2015-16,0.871479,289,53,33162
Indiana,2016,27,36,0,0,0,0,0,Level 1,Minimal,Jul-09-2016,2015-16,1.0159,23,18,2264
Iowa,2016,27,19,0,1,5.26,0,5.26,Level 1,Minimal,Jul-09-2016,2015-16,0,0,3,304
Kansas,2016,27,11,0,0,0,0,0,Level 1,Minimal,Jul-09-2016,2015-16,0.198741,6,13,3019
Kentucky,2016,27,145,1,0,0.69,0.69,0,Level 1,Minimal,Jul-09-2016,2015-16,0.0115168,2,15,17366
Louisiana,2016,27,162,1,0,0.62,0.62,0,Level 1,Minimal,Jul-09-2016,2015-16,1.08454,498,70,45918
Maine,2016,27,0,0,0,0,0,0,Level 1,Minimal,Jul-09-2016,2015-16,0.312419,12,23,3841
Maryland,2016,27,18,1,0,5.56,5.56,0,Level 1,Minimal,Jul-09-2016,2015-16,1.33616,63,17,4715
Massachusetts,2016,27,61,0,0,0,0,0,Level 1,Minimal,Jul-09-2016,2015-16,0.488679,60,23,12278
Michigan,2016,27,130,0,0,0,0,0,Level 1,Minimal,Jul-09-2016,2015-16,0.301872,45,63,14907
Minnesota,2016,27,70,0,0,0,0,0,Level 1,Minimal,Jul-09-2016,2015-16,0.266193,6,14,2254
Mississippi,2016,27,20,0,0,0,0,0,Level 1,Minimal,Jul-09-2016,2015-16,1.12159,201,47,17921
Missouri,2016,27,288,0,1,0.35,0,0.35,Level 1,Minimal,Jul-09-2016,2015-16,0.631769,14,16,2216
Montana,2016,27,52,0,0,0,0,0,Level 1,Minimal,Jul-09-2016,2015-16,0,0,3,1091
Nebraska,2016,27,23,0,1,4.35,0,4.35,Level 1,Minimal,Jul-09-2016,2015-16,0.428266,6,10,1401
Nevada,2016,27,0,0,0,0,0,0,Level 1,Minimal,Jul-09-2016,2015-16,0.252398,25,19,9905
New Hampshire,2016,27,0,0,0,0,0,0,Level 1,Minimal,Jul-09-2016,2015-16,0.138504,3,17,2166
New Jersey,2016,27,0,0,0,0,0,0,Level 1,Minimal,Jul-09-2016,2015-16,0.580945,15,12,2582
New Mexico,2016,27,58,0,0,0,0,0,Level 1,Minimal,Jul-09-2016,2015-16,1.11592,80,20,7169
New York,2016,27,696,1,1,0.29,0.14,0.14,Level 1,Minimal,Jul-09-2016,2015-16,0,0,31,1800
North Carolina,2016,27,15,0,0,0,0,0,Level 1,Minimal,Jul-09-2016,2015-16,0.922233,37,21,4012
North Dakota,2016,27,0,0,0,0,0,0,Level 1,Minimal,Jul-09-2016,2015-16,0,0,5,872
Ohio,2016,27,264,0,0,0,0,0,Level 1,Minimal,Jul-09-2016,2015-16,0.422623,34,44,8045
Oklahoma,2016,27,62,0,0,0,0,0,Level 1,Minimal,Jul-09-2016,2015-16,0.541516,15,14,2770
Oregon,2016,27,84,0,0,0,0,0,Level 1,Minimal,Jul-09-2016,2015-16,0,0,6,1054
Pennsylvania,2016,27,99,0,0,0,0,0,Level 1,Minimal,Jul-09-2016,2015-16,0.907464,71,31,7824
Rhode Island,2016,27,0,0,0,0,0,0,Level 1,Minimal,Jul-09-2016,2015-16,0,0,15,2341
South Carolina,2016,27,93,0,0,0,0,0,Level 1,Minimal,Jul-09-2016,2015-16,0.0383436,1,9,2608
South Dakota,2016,27,62,0,0,0,0,0,Level 1,Minimal,Jul-09-2016,2015-16,1.10858,34,20,3067
Tennessee,2016,27,39,0,0,0,0,0,Level 1,Minimal,Jul-09-2016,2015-16,0.874954,48,50,5486
Texas,2016,27,731,3,4,0.96,0.41,0.55,Level 1,Minimal,Jul-09-2016,2015-16,1.66667,248,68,14880
Utah,2016,27,287,2,0,0.7,0.7,0,Level 1,Minimal,Jul-09-2016,2015-16,0.805974,177,41,21961
Vermont,2016,27,15,1,0,6.67,6.67,0,Level 1,Minimal,Jul-09-2016,2015-16,0.469484,6,7,1278
Virginia,2016,27,117,0,0,0,0,0,Level 1,Minimal,Jul-09-2016,2015-16,1.1676,911,120,78023
Washington,2016,27,197,1,1,1.02,0.51,0.51,Level 1,Minimal,Jul-09-2016,2015-16,0.247321,6,25,2426
West Virginia,2016,27,158,0,3,1.9,0,1.9,Level 1,Minimal,Jul-09-2016,2015-16,0.522784,67,35,12816
Wisconsin,2016,27,213,0,0,0,0,0,Level 1,Minimal,Jul-09-2016,2015-16,0.0584454,1,17,1711
Wyoming,2016,27,0,0,0,0,0,0,Level 1,Minimal,Jul-09-2016,2015-16,0.253807,6,14,2364
Puerto Rico,2016,27,0,0,0,0,0,0,Level 2,Minimal,Jul-09-2016,2015-16,3.89554,179,8,4595
Virgin Islands,2016,27,0,0,0,0,0,0,Level 0,Insufficient Data,Jul-09-2016,2015-16,1.75439,6,1,342
New York City,2016,27,0,0,0,0,0,0,Level 1,Minimal,Jul-09-2016,2015-16,1.01818,956,77,93893
Alabama,2016,28,34,0,0,0,0,0,Level 1,Minimal,Jul-16-2016,2015-16,0.77436,36,18,4649
Alaska,2016,28,0,0,0,0,0,0,Level 1,Minimal,Jul-16-2016,2015-16,0.260417,3,4,1152
Arizona,2016,28,19,0,0,0,0,0,Level 1,Minimal,Jul-16-2016,2015-16,0.79623,147,44,18462
Arkansas,2016,28,27,0,0,0,0,0,Level 1,Minimal,Jul-16-2016,2015-16,0.298805,3,5,1004
California,2016,28,480,2,2,0.83,0.42,0.42,Level 1,Minimal,Jul-16-2016,2015-16,1.04573,324,98,30983
Colorado,2016,28,161,1,1,1.24,0.62,0.62,Level 1,Minimal,Jul-16-2016,2015-16,0.297177,10,7,3365
Connecticut,2016,28,142,0,0,0,0,0,Level 1,Minimal,Jul-16-2016,2015-16,0.308642,3,13,972
Delaware,2016,28,0,0,0,0,0,0,Level 1,Minimal,Jul-16-2016,2015-16,0.10803,3,12,2777
District of Columbia,2016,28,0,0,0,0,0,0,Level 0,Insufficient Data,Jul-16-2016,2015-16,4.89039,87,2,1779
Florida,2016,28,0,0,0,0,0,0,Level 1,Minimal,Jul-16-2016,2015-16,X,X,X,X
Georgia,2016,28,214,0,0,0,0,0,Level 1,Minimal,Jul-16-2016,2015-16,0.963755,301,25,31232
Hawaii,2016,28,130,0,4,3.08,0,3.08,Level 1,Minimal,Jul-16-2016,2015-16,0.804829,8,13,994
Idaho,2016,28,0,0,0,0,0,0,Level 0,Insufficient Data,Jul-16-2016,2015-16,0.388601,3,2,772
Illinois,2016,28,114,0,0,0,0,0,Level 1,Minimal,Jul-16-2016,2015-16,0.833136,317,55,38049
Indiana,2016,28,65,0,0,0,0,0,Level 1,Minimal,Jul-16-2016,2015-16,0.66709,21,18,3148
Iowa,2016,28,19,0,0,0,0,0,Level 1,Minimal,Jul-16-2016,2015-16,0,0,3,378
Kansas,2016,28,0,0,0,0,0,0,Level 1,Minimal,Jul-16-2016,2015-16,0.117302,4,13,3410
Kentucky,2016,28,185,1,0,0.54,0.54,0,Level 1,Minimal,Jul-16-2016,2015-16,0.00981836,2,15,20370
Louisiana,2016,28,171,1,3,2.34,0.58,1.75,Level 1,Minimal,Jul-16-2016,2015-16,1.12144,508,72,45299
Maine,2016,28,0,0,0,0,0,0,Level 1,Minimal,Jul-16-2016,2015-16,0.436395,20,24,4583
Maryland,2016,28,13,0,0,0,0,0,Level 1,Minimal,Jul-16-2016,2015-16,1.14296,61,17,5337
Massachusetts,2016,28,63,0,0,0,0,0,Level 1,Minimal,Jul-16-2016,2015-16,0.426677,65,22,15234
Michigan,2016,28,127,1,0,0.79,0.79,0,Level 1,Minimal,Jul-16-2016,2015-16,0.401338,72,63,17940
Minnesota,2016,28,122,0,0,0,0,0,Level 1,Minimal,Jul-16-2016,2015-16,0.324826,7,13,2155
Mississippi,2016,28,12,0,0,0,0,0,Level 1,Minimal,Jul-16-2016,2015-16,1.24944,225,49,18008
Missouri,2016,28,269,1,0,0.37,0.37,0,Level 1,Minimal,Jul-16-2016,2015-16,0.443459,10,16,2255
Montana,2016,28,41,0,0,0,0,0,Level 1,Minimal,Jul-16-2016,2015-16,0,0,3,1360
Nebraska,2016,28,20,0,0,0,0,0,Level 1,Minimal,Jul-16-2016,2015-16,0.369588,7,11,1894
Nevada,2016,28,0,0,0,0,0,0,Level 1,Minimal,Jul-16-2016,2015-16,0.260116,27,19,10380
New Hampshire,2016,28,0,0,0,0,0,0,Level 1,Minimal,Jul-16-2016,2015-16,0.351741,10,17,2843
New Jersey,2016,28,0,0,0,0,0,0,Level 1,Minimal,Jul-16-2016,2015-16,0.45134,16,13,3545
New Mexico,2016,28,49,0,0,0,0,0,Level 1,Minimal,Jul-16-2016,2015-16,1.07339,80,20,7453
New York,2016,28,710,2,2,0.56,0.28,0.28,Level 1,Minimal,Jul-16-2016,2015-16,0.0838926,2,30,2384
North Carolina,2016,28,11,0,0,0,0,0,Level 1,Minimal,Jul-16-2016,2015-16,0.631039,32,20,5071
North Dakota,2016,28,0,0,0,0,0,0,Level 1,Minimal,Jul-16-2016,2015-16,0,0,5,944
Ohio,2016,28,296,0,1,0.34,0,0.34,Level 1,Minimal,Jul-16-2016,2015-16,0.41758,40,42,9579
Oklahoma,2016,28,96,0,0,0,0,0,Level 1,Minimal,Jul-16-2016,2015-16,0.446163,15,14,3362
Oregon,2016,28,78,0,0,0,0,0,Level 1,Minimal,Jul-16-2016,2015-16,0.162075,2,6,1234
Pennsylvania,2016,28,193,0,0,0,0,0,Level 1,Minimal,Jul-16-2016,2015-16,0.826792,79,31,9555
Rhode Island,2016,28,0,0,0,0,0,0,Level 1,Minimal,Jul-16-2016,2015-16,0,0,16,3346
South Carolina,2016,28,128,0,0,0,0,0,Level 1,Minimal,Jul-16-2016,2015-16,0,0,8,2603
South Dakota,2016,28,74,0,0,0,0,0,Level 1,Minimal,Jul-16-2016,2015-16,0.583303,32,24,5486
Tennessee,2016,28,30,0,0,0,0,0,Level 1,Minimal,Jul-16-2016,2015-16,1.15235,86,53,7463
Texas,2016,28,621,5,8,2.09,0.81,1.29,Level 1,Minimal,Jul-16-2016,2015-16,1.55492,189,68,12155
Utah,2016,28,286,0,0,0,0,0,Level 1,Minimal,Jul-16-2016,2015-16,0.892233,217,41,24321
Vermont,2016,28,13,0,0,0,0,0,Level 1,Minimal,Jul-16-2016,2015-16,0.819062,11,7,1343
Virginia,2016,28,99,0,0,0,0,0,Level 1,Minimal,Jul-16-2016,2015-16,0.976184,771,117,78981
Washington,2016,28,193,0,0,0,0,0,Level 1,Minimal,Jul-16-2016,2015-16,0.239398,7,24,2924
West Virginia,2016,28,167,0,1,0.6,0,0.6,Level 1,Minimal,Jul-16-2016,2015-16,0.358852,48,34,13376
Wisconsin,2016,28,258,0,0,0,0,0,Level 1,Minimal,Jul-16-2016,2015-16,0.339992,8,19,2353
Wyoming,2016,28,0,0,0,0,0,0,Level 1,Minimal,Jul-16-2016,2015-16,0.140944,4,14,2838
Puerto Rico,2016,28,0,0,0,0,0,0,Level 1,Minimal,Jul-16-2016,2015-16,3.72545,184,8,4939
Virgin Islands,2016,28,0,0,0,0,0,0,Level 0,Insufficient Data,Jul-16-2016,2015-16,1.17994,4,1,339
New York City,2016,28,0,0,0,0,0,0,Level 1,Minimal,Jul-16-2016,2015-16,0.93429,936,84,100183
Alabama,2016,29,42,1,0,2.38,2.38,0,Level 1,Minimal,Jul-23-2016,2015-16,1.212,59,17,4868
Alaska,2016,29,0,0,0,0,0,0,Level 1,Minimal,Jul-23-2016,2015-16,0.252313,3,4,1189
Arizona,2016,29,16,0,0,0,0,0,Level 1,Minimal,Jul-23-2016,2015-16,0.844818,160,44,18939
Arkansas,2016,29,31,0,0,0,0,0,Level 1,Minimal,Jul-23-2016,2015-16,0.111235,1,5,899
California,2016,29,517,4,0,0.77,0.77,0,Level 1,Minimal,Jul-23-2016,2015-16,0.904141,269,96,29752
Colorado,2016,29,128,3,1,3.13,2.34,0.78,Level 1,Minimal,Jul-23-2016,2015-16,0.377477,12,6,3179
Connecticut,2016,29,0,0,0,0,0,0,Level 1,Minimal,Jul-23-2016,2015-16,0.325733,3,13,921
Delaware,2016,29,0,0,0,0,0,0,Level 1,Minimal,Jul-23-2016,2015-16,0.102951,3,12,2914
District of Columbia,2016,29,0,0,0,0,0,0,Level 0,Insufficient Data,Jul-23-2016,2015-16,3.53874,58,2,1639
Florida,2016,29,0,0,0,0,0,0,Level 1,Minimal,Jul-23-2016,2015-16,X,X,X,X
Georgia,2016,29,181,0,0,0,0,0,Level 1,Minimal,Jul-23-2016,2015-16,0.874626,269,25,30756
Hawaii,2016,29,148,3,0,2.03,2.03,0,Level 1,Minimal,Jul-23-2016,2015-16,1.45985,16,13,1096
Idaho,2016,29,0,0,0,0,0,0,Level 0,Insufficient Data,Jul-23-2016,2015-16,0.169779,1,2,589
Illinois,2016,29,85,0,0,0,0,0,Level 1,Minimal,Jul-23-2016,2015-16,0.823299,307,56,37289
Indiana,2016,29,44,0,0,0,0,0,Level 1,Minimal,Jul-23-2016,2015-16,0.952057,28,16,2941
Iowa,2016,29,20,1,0,5,5,0,Level 1,Minimal,Jul-23-2016,2015-16,0,0,3,367
Kansas,2016,29,0,0,0,0,0,0,Level 1,Minimal,Jul-23-2016,2015-16,0.090854,3,12,3302
Kentucky,2016,29,152,0,0,0,0,0,Level 1,Minimal,Jul-23-2016,2015-16,0.0200552,4,15,19945
Louisiana,2016,29,162,0,1,0.62,0,0.62,Level 1,Minimal,Jul-23-2016,2015-16,1.02932,483,72,46924
Maine,2016,29,0,0,0,0,0,0,Level 1,Minimal,Jul-23-2016,2015-16,0.707651,32,24,4522
Maryland,2016,29,13,0,0,0,0,0,Level 1,Minimal,Jul-23-2016,2015-16,1.13331,59,17,5206
Massachusetts,2016,29,72,1,1,2.78,1.39,1.39,Level 1,Minimal,Jul-23-2016,2015-16,0.427722,64,24,14963
Michigan,2016,29,121,1,0,0.83,0.83,0,Level 1,Minimal,Jul-23-2016,2015-16,0.285836,47,59,16443
Minnesota,2016,29,112,1,0,0.89,0.89,0,Level 1,Minimal,Jul-23-2016,2015-16,0.644202,13,13,2018
Mississippi,2016,29,27,0,0,0,0,0,Level 1,Minimal,Jul-23-2016,2015-16,1.12422,203,47,18057
Missouri,2016,29,241,0,0,0,0,0,Level 1,Minimal,Jul-23-2016,2015-16,0.285714,7,16,2450
Montana,2016,29,39,0,0,0,0,0,Level 1,Minimal,Jul-23-2016,2015-16,0,0,3,1446
Nebraska,2016,29,28,0,1,3.57,0,3.57,Level 1,Minimal,Jul-23-2016,2015-16,0.146987,3,10,2041
Nevada,2016,29,0,0,0,0,0,0,Level 1,Minimal,Jul-23-2016,2015-16,0.395294,42,19,10625
New Hampshire,2016,29,0,0,0,0,0,0,Level 1,Minimal,Jul-23-2016,2015-16,0.266845,8,17,2998
New Jersey,2016,29,0,0,0,0,0,0,Level 1,Minimal,Jul-23-2016,2015-16,0.341207,13,13,3810
New Mexico,2016,29,67,0,0,0,0,0,Level 1,Minimal,Jul-23-2016,2015-16,1.09324,70,18,6403
New York,2016,29,671,0,3,0.45,0,0.45,Level 1,Minimal,Jul-23-2016,2015-16,0,0,29,1968
North Carolina,2016,29,0,0,0,0,0,0,Level 1,Minimal,Jul-23-2016,2015-16,0.517241,27,20,5220
North Dakota,2016,29,0,0,0,0,0,0,Level 1,Minimal,Jul-23-2016,2015-16,0.123762,1,4,808
Ohio,2016,29,232,0,0,0,0,0,Level 1,Minimal,Jul-23-2016,2015-16,0.336738,30,43,8909
Oklahoma,2016,29,90,0,0,0,0,0,Level 1,Minimal,Jul-23-2016,2015-16,0.392749,13,13,3310
Oregon,2016,29,66,0,0,0,0,0,Level 1,Minimal,Jul-23-2016,2015-16,0.0804505,1,5,1243
Pennsylvania,2016,29,175,0,0,0,0,0,Level 1,Minimal,Jul-23-2016,2015-16,0.900429,86,31,9551
Rhode Island,2016,29,0,0,0,0,0,0,Level 1,Minimal,Jul-23-2016,2015-16,0,0,16,3779
South Carolina,2016,29,109,0,2,1.83,0,1.83,Level 1,Minimal,Jul-23-2016,2015-16,0.078125,2,8,2560
South Dakota,2016,29,50,0,0,0,0,0,Level 1,Minimal,Jul-23-2016,2015-16,0.599377,25,22,4171
Tennessee,2016,29,29,0,0,0,0,0,Level 1,Minimal,Jul-23-2016,2015-16,0.786794,51,49,6482
Texas,2016,29,558,2,2,0.72,0.36,0.36,Level 1,Minimal,Jul-23-2016,2015-16,1.42177,239,67,16810
Utah,2016,29,302,0,0,0,0,0,Level 1,Minimal,Jul-23-2016,2015-16,0.78375,169,40,21563
Vermont,2016,29,0,0,0,0,0,0,Level 1,Minimal,Jul-23-2016,2015-16,0.759878,10,6,1316
Virginia,2016,29,121,0,0,0,0,0,Level 1,Minimal,Jul-23-2016,2015-16,0.944046,713,114,75526
Washington,2016,29,192,1,0,0.52,0.52,0,Level 1,Minimal,Jul-23-2016,2015-16,0.177179,5,24,2822
West Virginia,2016,29,185,0,0,0,0,0,Level 1,Minimal,Jul-23-2016,2015-16,0.406012,57,36,14039
Wisconsin,2016,29,212,0,0,0,0,0,Level 1,Minimal,Jul-23-2016,2015-16,0.0426257,1,18,2346
Wyoming,2016,29,0,0,0,0,0,0,Level 1,Minimal,Jul-23-2016,2015-16,0.0719683,2,14,2779
Puerto Rico,2016,29,0,0,0,0,0,0,Level 4,Low,Jul-23-2016,2015-16,4.25583,179,7,4206
Virgin Islands,2016,29,0,0,0,0,0,0,Level 0,Insufficient Data,Jul-23-2016,2015-16,0.647249,2,1,309
New York City,2016,29,0,0,0,0,0,0,Level 1,Minimal,Jul-23-2016,2015-16,1.12179,1118,81,99662
Alabama,2016,30,52,0,0,0,0,0,Level 1,Minimal,Jul-30-2016,2015-16,0.659184,37,20,5613
Alaska,2016,30,0,0,0,0,0,0,Level 1,Minimal,Jul-30-2016,2015-16,0.512821,6,4,1170
